Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context
.ексим йошьлобен в консеч и, мыртсО ,и чеснок в небольшой миске., Острым , , ножом надрежьте в нескольких местах,"Имбирь + лайм + кориандр // «Homes & Gardens», 2004.04.16",,,Имбирь + лайм + кориандр,2004,"нехудожественная, публицистика",рецепт,дом и домашнее хозяйство,«Homes & Gardens»,2004.04.16,журнал,омонимия не снята,"и чеснок в небольшой миске. Острым ножом надрежьте в нескольких местах филе говядины, чтобы кусок мог пропитаться маринадом. [Имбирь + лайм + кориандр // «Homes & Gardens», 2004.04.16] [омонимия не снята]"
" меч ,ешьлоб акинвиторп лашартсу отсач", яартсо ,"часто устрашал противника больше, чем ", острая , , сабля.,"Казацкий спецназ // «Солдат удачи», 2004.09.08",,,Казацкий спецназ,2004,"нехудожественная, публицистика",статья,"история, наука и технологии",«Солдат удачи»,2004.09.08,журнал,омонимия не снята,"Развевающийся по ветру чуб часто устрашал противника больше, чем острая сабля. [Казацкий спецназ // «Солдат удачи», 2004.09.08] [омонимия не снята]"
" и ,марикес мылежят и ,мялбас", мыртсо ,"саблям, и тяжелым секирам, и ", острым , , кинжалам находилась в рукопашном бою,"Казацкий спецназ // «Солдат удачи», 2004.09.08",,,Казацкий спецназ,2004,"нехудожественная, публицистика",статья,"история, наука и технологии",«Солдат удачи»,2004.09.08,журнал,омонимия не снята,"И боевым молоткам ― « келепам» ( чеканам), и « резвым» саблям, и тяжелым секирам, и острым кинжалам находилась в рукопашном бою работа. [Казацкий спецназ // «Солдат удачи», 2004.09.08] [омонимия не снята]"
" аз ,ытосыв еноротс йонтарбо ан", мыртсо ,"на обратной стороне высоты, за ", острым , , гребнем может быть так называемая,"Особенности разведки в горах // «Боевое искусство планеты», 2004.06.10",,,Особенности разведки в горах,2004,"нехудожественная, публицистика",статья,армия и вооруженные конфликты,«Боевое искусство планеты»,2004.06.10,журнал,омонимия не снята,"За скатом, на обратной стороне высоты, за острым гребнем может быть так называемая « звуковая тень», место, в котором нужный звук слышен не будет. [Особенности разведки в горах // «Боевое искусство планеты», 2004.06.10] [омонимия не снята]"
 илазерзар асям огоннялавбо аколб то, мыртсо ,от блока обвалянного мяса разрезали , острым , ," ножом вдоль, выравнивали края.","Производство полуфабрикатов из частично размороженного мяса птицы // «Мясная индустрия», 2004.03.29",,,Производство полуфабрикатов из частично размороженного мяса птицы,2004,"нехудожественная, учебно-научная",статья,"легкая и пищевая промышленность, наука и технологии, производство",«Мясная индустрия»,2004.03.29,журнал,омонимия не снята,"Филейные части от блока обвалянного мяса разрезали острым ножом вдоль, выравнивали края. [Производство полуфабрикатов из частично размороженного мяса птицы // «Мясная индустрия», 2004.03.29] [омонимия не снята]"
" и мореп с апялш ,йезурд", яартсо ,"друзей, шляпа с пером и ", острая , , шпага.,"Уроки плейбоев от Иракли // «Твой курс» (приложение к «Аргументам и фактам»), 2004.11.10",,,Уроки плейбоев от Иракли,2004,"нехудожественная, публицистика",интервью,частная жизнь,«Твой курс» (приложение к «Аргументам и фактам»),2004.11.10,журнал,омонимия не снята,"У мачо непременно должны быть в наличии трое отважных друзей, шляпа с пером и острая шпага. [Уроки плейбоев от Иракли // «Твой курс» (приложение к «Аргументам и фактам»), 2004.11.10] [омонимия не снята]"
.ьлодв ыниволоп евд ан етьжерзар, мыртсО ,разрежьте на две половины вдоль., Острым , , ножом сделайте несколько надрезов в,"Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003","Анатолий Найман, Галина Наринская",1936,Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов,2003,"нехудожественная, публицистика",эссе,дом и домашнее хозяйство,«Октябрь»,2003,журнал,омонимия не снята,"разрежьте на две половины вдоль. Острым ножом сделайте несколько надрезов в середине и положите в соленую воду на час. [Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003] [омонимия не снята]"
" онбоду олыб ыботч ,итсач еикат", мыртсо ,"такие части, чтобы было удобно ", острым , , ножом удалить середину.,"Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003","Анатолий Найман, Галина Наринская",1936,Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов,2003,"нехудожественная, публицистика",эссе,дом и домашнее хозяйство,«Октябрь»,2003,журнал,омонимия не снята,"Очистите длинную ровную морковку, разрежьте ее на такие части, чтобы было удобно острым ножом удалить середину. [Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003] [омонимия не снята]"
 ― еонвалГ, еыртсо ,Главное ― , острые , , ножи.,"Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003","Анатолий Найман, Галина Наринская",1936,Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов,2003,"нехудожественная, публицистика",эссе,дом и домашнее хозяйство,«Октябрь»,2003,журнал,омонимия не снята,"Главное ― острые ножи. [Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003] [омонимия не снята]"
" доп йещюацрем ,ынинагортс моксук или", мыртсо ,"или куском строганины, мерцающей под ", острым , ," ножом хозяйки, накрывающей на стол…",Егор Радов. Змеесос (2003),Егор Радов,1964,Змеесос,2003,художественная,роман,_,,,книга,омонимия не снята,"Еще я хочу стать дочерью вождя или куском строганины, мерцающей под острым ножом хозяйки, накрывающей на стол… [Егор Радов. Змеесос (2003)] [омонимия не снята]"
 йошьлоб асяоп аз-зи лищатыв ашиМ, йыртсо ,Миша вытащил из-за пояса большой , острый , , нож и ловкими умелыми движениями,Егор Радов. Змеесос (2003),Егор Радов,1964,Змеесос,2003,художественная,роман,_,,,книга,омонимия не снята,Тогда Миша вытащил из-за пояса большой острый нож и ловкими умелыми движениями отрезал у Александра Ивановича голову. [Егор Радов. Змеесос (2003)] [омонимия не снята]
 латсод ротйерфе оготэ елсоП, йыртсо ,После этого ефрейтор достал , острый , , нож и разрезал блузку толстой,Егор Радов. Змеесос (2003),Егор Радов,1964,Змеесос,2003,художественная,роман,_,,,книга,омонимия не снята,После этого ефрейтор достал острый нож и разрезал блузку толстой женщины. [Егор Радов. Змеесос (2003)] [омонимия не снята]
 хревв ьсилунят овиледрог имяьверед имишведоломоп, еыртсо ,помолодевшими деревьями горделиво тянулись вверх , острые , , пики тюльпанов и покачивали белыми,"Елизавета Алканская. Кредитная история // «Вестник США», 2003.09.03",Елизавета Алканская,,Кредитная история,2003,художественная,рассказ,_,«Вестник США»,2003.09.03,газета,омонимия не снята,"Под помолодевшими деревьями горделиво тянулись вверх острые пики тюльпанов и покачивали белыми головками нарциссы. [Елизавета Алканская. Кредитная история // «Вестник США», 2003.09.03] [омонимия не снята]"
« евтсечак в ьлор зар, огортсо ,раз роль в качестве «, острого , , оружия» партии коммунисты избрали законопроекты,"Иван Родин. Национализация в предвыборных целях // «Независимая газета», 2003",Иван Родин,,Национализация в предвыборных целях,2003,"нехудожественная, публицистика",статья,политика и общественная жизнь,«Независимая газета»,2003,газета,омонимия не снята,"На этот раз роль в качестве «острого оружия» партии коммунисты избрали законопроекты о национализации. [Иван Родин. Национализация в предвыборных целях // «Независимая газета», 2003] [омонимия не снята]"
 с йен к илажеб циньлетичу, имыртсо ,учительниц бежали к ней с , острыми , ," указками, и миллионы мальчиков хором кричали:",Кира Сурикова. Ира ― дура (2003),Кира Сурикова,1965,Ира ― дура,2003,художественная,рассказ,_,,,книга,омонимия не снята,"Она будто на нее опрокидывалось море красных чернил, а тысячи учительниц бежали к ней с острыми указками, и миллионы мальчиков хором кричали: « Ирра ― дурра!»  [Кира Сурикова. Ира ― дура (2003)] [омонимия не снята]"
 теузарбо ииницал йарк йыньлаидем ;яаньладимарип, йыртсо ,пирамидальная; медиальный край лацинии образует , острый , ," гребень, несущий нередко кайму из",Л. Жильцова. Веснянки (plecoptera). Группа euholognatha (2003),Л. Жильцова,,Веснянки (plecoptera). Группа euholognatha,2003,"нехудожественная, учебно-научная",монография,"биология, наука и технологии",,,книга,омонимия не снята,"Лациния ― внутренняя подвижная доля максиллы, хорошо склеротизованная, конусовидная или пирамидальная; медиальный край лацинии образует острый гребень, несущий нередко кайму из длинных щетинок, вершина лацинии острая, двухзубчатая. [Л. Жильцова. Веснянки (plecoptera). Группа euholognatha (2003)] [омонимия не снята]"
 алсеназ и ьтин алярпыв ежу, еыртсо ,уже выпряла нить и занесла , острые , ," ножницы, и ты доподлинно знаешь,",Мария Семенова. Волкодав: Знамение пути (2003),Мария Семенова,1958,Волкодав: Знамение пути,2003,художественная,роман,_,,,книга,омонимия не снята,"Если Хозяйка Судеб уже выпряла нить и занесла острые ножницы, и ты доподлинно знаешь, сколько витков осталось крутиться веретену?.. [Мария Семенова. Волкодав: Знамение пути (2003)] [омонимия не снята]"
 луныв онйокопсерп и ― еоннелдем, йыртсо ,медленное ― и преспокойно вынул , острый , , ножик у Шамаргана из кулака?..,Мария Семенова. Волкодав: Знамение пути (2003),Мария Семенова,1958,Волкодав: Знамение пути,2003,художественная,роман,_,,,книга,омонимия не снята,"Но кто же в здравом рассудке сразу поверит, будто молчаливый чужеземец, невозмутимо кормивший из блюдечка ручную летучую мышь, внезапно наклонился из-за стола ― и его движение рассказчики припоминали как медленное ― и преспокойно вынул острый ножик у Шамаргана из кулака?.. [Мария Семенова. Волкодав: Знамение пути (2003)] [омонимия не снята]"
" онйачыбоен ыб онволс ,отсич и", мыртсо ,"и чисто, словно бы необычайно ", острым , ," ножом, и рука, держащая её",Мария Семенова. Волкодав: Знамение пути (2003),Мария Семенова,1958,Волкодав: Знамение пути,2003,художественная,роман,_,,,книга,омонимия не снята,"Верёвка всякий раз оказывалась срезанной ровно и чисто, словно бы необычайно острым ножом, и рука, держащая её наверху, не улавливала мгновения. [Мария Семенова. Волкодав: Знамение пути (2003)] [омонимия не снята]"
 тидохси огЕ еж тсу зИ, йыртсо ,Из уст же Его исходит , острый , ," меч, чтобы им поражать народы.",Мария Чегодаева. Соцреализм: Мифы и реальность (2003),Мария Чегодаева,1931,Соцреализм: Мифы и реальность,2003,"нехудожественная, учебно-научная",монография,"искусствоведение, наука и технологии",,,книга,омонимия не снята,"Из уст же Его исходит острый меч, чтобы им поражать народы. [Мария Чегодаева. Соцреализм: Мифы и реальность (2003)] [омонимия не снята]"
" икчарз оге ,игород то яславрото", имыртсо ,"оторвался от дороги, его зрачки ", острыми , ," буравчиками посверлили собеседника, не почувствовали",Михаил Елизаров. Pasternak (2003),Михаил Елизаров,,Pasternak,2003,художественная,роман,_,,,книга,омонимия не снята,"Николай Аристархович на секунду оторвался от дороги, его зрачки острыми буравчиками посверлили собеседника, не почувствовали лжи и отпустили. [Михаил Елизаров. Pasternak (2003)] [омонимия не снята]"
 йошьлоб нежун енМ, йыртсо ,Мне нужен большой , острый , ," нож, каким разделывают мясо.","Надежда Трофимова. Третье желание // «Звезда», 2003",Надежда Трофимова,,Третье желание,2003,художественная,повесть,_,«Звезда»,2003,журнал,омонимия не снята,"Мне нужен большой острый нож, каким разделывают мясо. [Надежда Трофимова. Третье желание // «Звезда», 2003] [омонимия не снята]"
" и упож юущот ,)юуннечюркс мецьлап", еыртсо ,"пальцем скрюченную), тощую жопу и ", острые , ," лопатки ― видно, крылья у","Ольга Сульчинская. Я умру с телефонной трубкой в руке // «Октябрь», 2003",Ольга Сульчинская,1966,Я умру с телефонной трубкой в руке,2003,художественная,рассказ,_,«Октябрь»,2003,журнал,омонимия не снята,"Эту его пипиську ( показал указательным пальцем скрюченную), тощую жопу и острые лопатки ― видно, крылья у него только начинали прорезываться. [Ольга Сульчинская. Я умру с телефонной трубкой в руке // «Октябрь», 2003] [омонимия не снята]"
" отдуб йыроток ,атнасед огоксечиткат икдасыв", мыртсо ,"высадки тактического десанта, который будто ", острым , , ножом перерезал горную дорогу Итум-,"Павел Евдокимов. Улус-Керт // «Спецназ России», 2003.03.15",Павел Евдокимов,,Улус-Керт,2003,"нехудожественная, публицистика",статья,армия и вооруженные конфликты,«Спецназ России»,2003.03.15,газета,омонимия не снята,"Произошло это после высадки тактического десанта, который будто острым ножом перерезал горную дорогу Итум- Кале- Шатили, построенную невольниками « свободной Ичкерии». [Павел Евдокимов. Улус-Керт // «Спецназ России», 2003.03.15] [омонимия не снята]"
" ,угон юуньлис юукнот ,ысолов еытсинлов", юуртсо ,"волнистые волосы, тонкую сильную ногу, ", острую , ," лопатку, перед тем как юный","Тамара Орлова. Ловушка для ящериц // «Октябрь», 2003",Тамара Орлова,,Ловушка для ящериц,2003,художественная,повесть,_,«Октябрь»,2003,журнал,омонимия не снята,"Мина успела заметить волнистые волосы, тонкую сильную ногу, острую лопатку, перед тем как юный садовник исчез. [Тамара Орлова. Ловушка для ящериц // «Октябрь», 2003] [омонимия не снята]"
 , огортсо , , острого , , ножа с хрустом вскрыл грудную,"Юрий Буйда. Город палачей // «Знамя», 2003",Юрий Буйда,1954,Город палачей,2003,художественная,роман,_,«Знамя»,2003,журнал,омонимия не снята," острого ножа с хрустом вскрыл грудную клетку повешенного, вырвал рукой из его дымящейся разверстой груди сердце и показал ему, прежде чем тот навсегда сомкнул веки. [Юрий Буйда. Город палачей // «Знамя», 2003] [омонимия не снята]"
 или можон мынжатном ьсетйузьлоп азерзар, имыртсо ,разреза пользуйтесь монтажным ножом или , острыми , , ножницами ,"Neo-Neon Holding: обратная связь с потребителем // «Наружная реклама России», 2003.10.20",,,Neo-Neon Holding: обратная связь с потребителем,2003,"нехудожественная, реклама",статья,производство,«Наружная реклама России»,2003.10.20,журнал,омонимия не снята,"Для разреза пользуйтесь монтажным ножом или острыми ножницами [Neo-Neon Holding: обратная связь с потребителем // «Наружная реклама России», 2003.10.20] [омонимия не снята]"
" еыннесенан ,иинил еыньлатнеманро еынжомзовесв и", мыртсо ,"и всевозможные орнаментальные линии, нанесенные ", острым , ," ножом, параллельные и пересекающиеся в","Знаки весны // «Народное творчество», 2003.08.18",,,Знаки весны,2003,"нехудожественная, публицистика",статья,религия,«Народное творчество»,2003.08.18,журнал,омонимия не снята,"Для передачи оперения в таких фигурках птиц могли использовать и всевозможные орнаментальные линии, нанесенные острым ножом, параллельные и пересекающиеся в виде сетки. [Знаки весны // «Народное творчество», 2003.08.18] [омонимия не снята]"
 ьнечо ясхищюащарв авд и яинеживдереп, хыртсо ,передвижения и два вращающихся очень , острых , , меча превращают человека в очень,"Мьянмарские мечи // «Боевое искусство планеты», 2003.12.08",,,Мьянмарские мечи,2003,"нехудожественная, публицистика",статья,искусство и культура,«Боевое искусство планеты»,2003.12.08,журнал,омонимия не снята,"Низкая позиция, специальная техника передвижения и два вращающихся очень острых меча превращают человека в очень эффективную машину для уничтожения себе подобных. [Мьянмарские мечи // «Боевое искусство планеты», 2003.12.08] [омонимия не снята]"
" тюатсарыв ,илмез доп-зи онволс ,еднамок", еыртсо ,"команде, словно из-под земли, вырастают ", острые , ," иглы, прокалывающие любую покрышку.","Оружие, которое не убивает // «Солдат удачи», 2003.12.03",,,"Оружие, которое не убивает",2003,"нехудожественная, публицистика",статья,техника,«Солдат удачи»,2003.12.03,журнал,омонимия не снята,"Как только возникает необходимость остановить тот или иной автомобиль, по команде, словно из-под земли, вырастают острые иглы, прокалывающие любую покрышку. [Оружие, которое не убивает // «Солдат удачи», 2003.12.03] [омонимия не снята]"
( арубодел кобирг ан оньлис, еыртсо ,сильно на грибок ледобура (, острые , , ножи довольно легко входят в,"Особенности зимней любительской ловли // «Рыбак Приморья», 2003.01.30",,,Особенности зимней любительской ловли,2003,"нехудожественная, публицистика",статья,производство,«Рыбак Приморья»,2003.01.30,газета,омонимия не снята,"При сверлении лунки не нажимайте сильно на грибок ледобура (острые ножи довольно легко входят в лед), следя в то же время, чтобы штанга ледобура все время находилась в вертикальном положении. [Особенности зимней любительской ловли // «Рыбак Приморья», 2003.01.30] [омонимия не снята]"
" или меивзел тюазердан онтарукка ,келешок", мыртсо ,"кошелек, аккуратно надрезают лезвием или ", острым , , ножиком и через возникшую прорезь,"Потрошители сумок воруют кошельки // «Встреча» (Дубна), 2003.04.16",,,Потрошители сумок воруют кошельки,2003,"нехудожественная, публицистика",заметка,криминал,«Встреча» (Дубна),2003.04.16,газета,омонимия не снята,"Пока увлеченный витриной покупатель разглядывает товар и цены, его хозяйственную сумку ( или полиэтиленовый пакет), где предположительно лежит кошелек, аккуратно надрезают лезвием или острым ножиком и через возникшую прорезь тихонько выгребают искомое. [Потрошители сумок воруют кошельки // «Встреча» (Дубна), 2003.04.16] [омонимия не снята]"
" ,моклеток микновз ,моказкюр с етсемв", мыртсо ,"вместе с рюкзаком, звонким котелком, ", острым , , топором и удочками…,Дмитрий Каралис. Раки (2002-2003),Дмитрий Каралис,1949,Раки,2002-2003,художественная,рассказ,_,,,электронный текст,омонимия не снята,"Сделав несколько попыток выпрыгнуть из воды и лечь на спинку кормы животом, дядя Жора вопреки окрикам отца попробовал проникнуть в лодку с борта ― именно такая позиция, как совершенно негодная, перечеркнута красным крестом на плакатах по правилам поведения на воде ― и чуть не перевернул нас вместе с рюкзаком, звонким котелком, острым топором и удочками… [Дмитрий Каралис. Раки (2002-2003)] [омонимия не снята]"
 с етсемВ, йортсо ,Вместе с , острой , , саблей ,Людмила Гурченко. Аплодисменты (1994-2003),Людмила Гурченко,1935,Аплодисменты,1994-2003,"нехудожественная, публицистика",мемуары,_,,,книга,омонимия не снята,Вместе с острой саблей [Людмила Гурченко. Аплодисменты (1994-2003)] [омонимия не снята]
" с ,атсевен А", йортсо ,"А невеста, с ", острой , ," саблей и пикой, ждет дома",Людмила Гурченко. Аплодисменты (1994-2003),Людмила Гурченко,1935,Аплодисменты,1994-2003,"нехудожественная, публицистика",мемуары,_,,,книга,омонимия не снята,"А невеста, с острой саблей и пикой, ждет дома жениха с войны. [Людмила Гурченко. Аплодисменты (1994-2003)] [омонимия не снята]"
 йымас оН, йыртсо ,Но самый , острый , , пик кризиса мы пока не,"Александр Кривцов. Тенгиз Китовани: «В Панкиси не менее 1800 боевиков» // «Известия», 2002.09.16",Александр Кривцов,,Тенгиз Китовани: «В Панкиси не менее 1800 боевиков»,2002,"нехудожественная, публицистика",интервью,политика и общественная жизнь,«Известия»,2002.09.16,газета,омонимия не снята,"Но самый острый пик кризиса мы пока не прошли. [Александр Кривцов. Тенгиз Китовани: «В Панкиси не менее 1800 боевиков» // «Известия», 2002.09.16] [омонимия не снята]"
" мотэ ирп яазердоп иксечидоиреп ,онвендеже", мыртсо ,"ежедневно, периодически подрезая при этом ", острым , ," ножом нижнюю часть стебля, который","Анатолий Савченко. Радость моя - тюльпаны // «Homes & Gardens», 2002.04.15",Анатолий Савченко,,Радость моя - тюльпаны,2002,"нехудожественная, публицистика",статья,природа,«Homes & Gardens»,2002.04.15,журнал,омонимия не снята,"Менять ее надо ежедневно, периодически подрезая при этом острым ножом нижнюю часть стебля, который все еще продолжает удлиняться в воде. [Анатолий Савченко. Радость моя - тюльпаны // «Homes & Gardens», 2002.04.15] [омонимия не снята]"
" йыннеортсыв ,ториш хишан ялд йынчывирпен", имыртсо ,"непривычный для наших широт, выстроенный ", острыми , , пиками лиственниц силуэт леса.,"Василий Голованов. Остров, или оправдание бессмысленных путешествий (2002)",Василий Голованов,1960,"Остров, или оправдание бессмысленных путешествий",2002,"нехудожественная, публицистика",монография,путешествия,,,книга,омонимия не снята,"Была прекрасная погода, голубое небо, контрастный « мартовский» северный свет, озаренные этим светом « пески» на окраине города, бараки, пятиэтажки, непривычный для наших широт, выстроенный острыми пиками лиственниц силуэт леса. [Василий Голованов. Остров, или оправдание бессмысленных путешествий (2002)] [омонимия не снята]"
" ,мецнлос йотерган ,екнибжол в тидис", мыртсо ,"сидит в ложбинке, нагретой солнцем, ", острым , , ножом выкапывая золотой корень.,"Василий Голованов. Остров, или оправдание бессмысленных путешествий (2002)",Василий Голованов,1960,"Остров, или оправдание бессмысленных путешествий",2002,"нехудожественная, публицистика",монография,путешествия,,,книга,омонимия не снята,"На берегу, где река сходится с морем, он сидит в ложбинке, нагретой солнцем, острым ножом выкапывая золотой корень. [Василий Голованов. Остров, или оправдание бессмысленных путешествий (2002)] [омонимия не снята]"
" микьнелам нидо а ,тажред оревтеЧ", мыртсо ,"Четверо держат, а один маленьким ", острым , , ножом делает ему надрез в,"Василий Голованов. Остров, или оправдание бессмысленных путешествий (2002)",Василий Голованов,1960,"Остров, или оправдание бессмысленных путешествий",2002,"нехудожественная, публицистика",монография,путешествия,,,книга,омонимия не снята,"Четверо держат, а один маленьким острым ножом делает ему надрез в паху, извлекает из мошонки два белых, абсолютно правильной эллипсовидной формы яичка, перекручивает их, чем-то еще перетягивает ― и одним махом отрезает. [Василий Голованов. Остров, или оправдание бессмысленных путешествий (2002)] [омонимия не снята]"
" с аквотнив ,игопас ,мен ан", мыртсо ,"на нем, сапоги, винтовка с ", острым , ," штыком, сабля на поясе.","Василий Голованов. Остров, или оправдание бессмысленных путешествий (2002)",Василий Голованов,1960,"Остров, или оправдание бессмысленных путешествий",2002,"нехудожественная, публицистика",монография,путешествия,,,книга,омонимия не снята,"Так увидел его Никита: шинель на нем, сапоги, винтовка с острым штыком, сабля на поясе. [Василий Голованов. Остров, или оправдание бессмысленных путешествий (2002)] [омонимия не снята]"
" ,вортилиллим ьтацдавд ан цирпш ,яинавилобзебо", яартсо ,"обезболивания, шприц на двадцать миллилитров, ", острая , ," игла- троакар для прокола кожи,",Влада Валеева. Скорая помощь (2002),Влада Валеева,,Скорая помощь,2002,художественная,роман,_,,,книга,омонимия не снята,"Через минуту готовый стерильный набор для катетеризации центральной вены лежал перед Каплевичем: раствор новокаина для местного обезболивания, шприц на двадцать миллилитров, острая игла- троакар для прокола кожи, длинная полая игла для поиска вены, катетер с проводником и заправленный иглодержатель, чтобы подшить катетер к коже. [Влада Валеева. Скорая помощь (2002)] [омонимия не снята]"
 хынназеререп и ыварт йешвингереп ее, йортсо ,ее перегнившей травы и перерезанных , острой , , лопатой червяков.,"Галина Щербакова. Ангел Мертвого озера // «Новый Мир», 2002",Галина Щербакова,1932,Ангел Мертвого озера,2002,художественная,"рассказ, цикл",_,«Новый Мир»,2002,журнал,омонимия не снята,"Маленький, он был ближе к лунке, к духу ее перегнившей травы и перерезанных острой лопатой червяков. [Галина Щербакова. Ангел Мертвого озера // «Новый Мир», 2002] [омонимия не снята]"
 йыннилд и еще йобос с, йыртсо ,с собой еще и длинный , острый , ," нож- мачете, похожий на саблю,","Михаил Панин. Камикадзе // «Звезда», 2002",Михаил Панин,,Камикадзе,2002,художественная,роман,_,«Звезда»,2002,журнал,омонимия не снята,"Кроме пистолета и бинокля я взял с собой еще и длинный острый нож- мачете, похожий на саблю, который был на спасательном плоту, чтобы отбиваться от акул. [Михаил Панин. Камикадзе // «Звезда», 2002] [омонимия не снята]"
 алилбоксто анО, йортсо ,Она отскоблила , острой , ," бритвой от таблетки несколько крупинок,",Наталья Шмелькова. Последние дни Венедикта Ерофеева (2002),Наталья Шмелькова,,Последние дни Венедикта Ерофеева,2002,"нехудожественная, публицистика",мемуары,_,,,книга,омонимия не снята,"Она отскоблила острой бритвой от таблетки несколько крупинок, приняв которые я утром еле встала. [Наталья Шмелькова. Последние дни Венедикта Ерофеева (2002)] [омонимия не снята]"
.конусир .мс ( еинаводзороб еончерепоП, мыртсО ,Поперечное бороздование ( см. рисунок., Острым , , ножом прорезаем кору.,"Николай Курдюмов. Велю я саду - цвесть! // «Homes & Gardens», 2002.04.15",Николай Курдюмов,,Велю я саду - цвесть!,2002,"нехудожественная, публицистика",статья,природа,«Homes & Gardens»,2002.04.15,журнал,омонимия не снята,"Поперечное бороздование ( см. рисунок. Острым ножом прорезаем кору. [Николай Курдюмов. Велю я саду - цвесть! // «Homes & Gardens», 2002.04.15] [омонимия не снята]"
" тюазерзар отсорп ,оливарп как ,яинетсар", мыртсо ,"растения, как правило, просто разрезают ", острым , ," ножом, и корни при этом","Ольга Собинова. Как угомонить разросшиеся растения // «Homes & Gardens», 2002.07.09",Ольга Собинова,,Как угомонить разросшиеся растения,2002,"нехудожественная, учебно-научная",статья,природа,«Homes & Gardens»,2002.07.09,журнал,омонимия не снята,"В коммерческих питомниках растения, как правило, просто разрезают острым ножом, и корни при этом повреждаются. [Ольга Собинова. Как угомонить разросшиеся растения // «Homes & Gardens», 2002.07.09] [омонимия не снята]"
 юьщомоп с и онжом яинетсар, огортсо ,растения можно и с помощью , острого , ," ножа, однако такая операция способна","Ольга Собинова. Как угомонить разросшиеся растения // «Homes & Gardens», 2002.07.09",Ольга Собинова,,Как угомонить разросшиеся растения,2002,"нехудожественная, учебно-научная",статья,природа,«Homes & Gardens»,2002.07.09,журнал,омонимия не снята,"2. Разделить растения можно и с помощью острого ножа, однако такая операция способна замедлить рост из-за повреждений корневой системы. [Ольга Собинова. Как угомонить разросшиеся растения // «Homes & Gardens», 2002.07.09] [омонимия не снята]"
