Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context
" яслазако оген у хулс ,икчотуш", мыртсо ,"шуточки, слух у него оказался ", острым ,", "," звяканье металла, рассованного по карманам,","Анатолий Азольский. Диверсант // «Новый Мир», 2002",Анатолий Азольский,1930,Диверсант,2002,художественная,роман,_,«Новый Мир»,2002,журнал,омонимия не снята,"За школою рос могучий, поцарапанный осколками дуб, на него мы забирались и поочередно, навьюченные и увешанные оружием, прыгали на землю с пятиметровой высоты, и развалившийся на солнышке Калтыгин отпускал язвительные шуточки, слух у него оказался острым, звяканье металла, рассованного по карманам, не только улавливал, но и указывал, где что неверно лежит. [Анатолий Азольский. Диверсант // «Новый Мир», 2002] [омонимия не снята]"
 алакревсаз и алунхыпсв янд йокбылу, имыртсо ,улыбкой дня вспыхнула и засверкала , острыми , , лучами первая голубая звезда.,"Владимир Скрипкин. Тинга // «Октябрь», 2002",Владимир Скрипкин,,Тинга,2002,художественная,роман,_,«Октябрь»,2002,журнал,омонимия не снята,"Краски дня посторонились, в образовавшуюся мировую щель хлынули черными лучами девственные потоки ночи, и над потухающим изумрудно-зеленым окоемом, над последней нежно- бирюзовой улыбкой дня вспыхнула и засверкала острыми лучами первая голубая звезда. [Владимир Скрипкин. Тинга // «Октябрь», 2002] [омонимия не снята]"
 назинорп худзов йынчарзорП, имыртсо ,Прозрачный воздух пронизан , острыми , ," лучами солнца, кажется, что оно",Владимир Спектр. Face Control (2002),Владимир Спектр,,Face Control,2002,художественная,роман,_,,,книга,омонимия не снята,"Прозрачный воздух пронизан острыми лучами солнца, кажется, что оно готово испепелить любого. [Владимир Спектр. Face Control (2002)] [омонимия не снята]"
 и сукв йынярП, йыртсо ,Пряный вкус и , острый , , запах слов- паразитов родины ворвался,"Галина Щербакова. Ангел Мертвого озера // «Новый Мир», 2002",Галина Щербакова,1932,Ангел Мертвого озера,2002,художественная,"рассказ, цикл",_,«Новый Мир»,2002,журнал,омонимия не снята,"Пряный вкус и острый запах слов- паразитов родины ворвался ко мне в дом, даже не переступив его порога. [Галина Щербакова. Ангел Мертвого озера // «Новый Мир», 2002] [омонимия не снята]"
" огенжерп ежу тен сачйес ,адварП", огортсо ,"Правда, сейчас нет уже прежнего ", острого , ," запаха опилок, смешанного с чем-то","Наталья Голованова. Тигра можно остановить только водой // «Вечерняя Москва», 2002.01.10",Наталья Голованова,,Тигра можно остановить только водой,2002,"нехудожественная, публицистика",интервью,"досуг, зрелища и развлечения",«Вечерняя Москва»,2002.01.10,газета,омонимия не снята,"Правда, сейчас нет уже прежнего острого запаха опилок, смешанного с чем-то лошадиным, технические возможности цирков стали намного выше. [Наталья Голованова. Тигра можно остановить только водой // «Вечерняя Москва», 2002.01.10] [омонимия не снята]"
 илмез то йишвидохси линмоп еще, йыртсо ,еще помнил исходивший от земли , острый , ," запах пробуждения, помнил охватившее его",Николай Дежнев. Год бродячей собаки (2002),Николай Дежнев,1946,Год бродячей собаки,2002,художественная,роман,_,,,книга,омонимия не снята,"Ему казалось, что только вчера был тот яркий весенний день, он еще помнил исходивший от земли острый запах пробуждения, помнил охватившее его вдруг острое желание жить. [Николай Дежнев. Год бродячей собаки (2002)] [омонимия не снята]"
" ьтунходв ,ьтсик икур в ьтязв", йыртсо ,"взять в руки кисть, вдохнуть ", острый , ," запах масляных красок… Как думаешь,",Николай Дежнев. Год бродячей собаки (2002),Николай Дежнев,1946,Год бродячей собаки,2002,художественная,роман,_,,,книга,омонимия не снята,"Хочется писать, хочется взять в руки кисть, вдохнуть острый запах масляных красок… Как думаешь, может быть, действительно, мне все привиделось?.. [Николай Дежнев. Год бродячей собаки (2002)] [омонимия не снята]"
" с отолоб итйереп ,евд ытсрев", мыртсо ,"версты две, перейти болото с ", острым , ," запахом багульника, дойти до речки","Павел Кузнецов. Деревенский дневник // «Звезда», 2002",Павел Кузнецов,,Деревенский дневник,2002,"нехудожественная, публицистика",очерк,частная жизнь,«Звезда»,2002,журнал,омонимия не снята,"Но если повернуть направо по заросшей Обрской дороге, пройти версты две, перейти болото с острым запахом багульника, дойти до речки Рожни с берегами, изрезанными бобровыми норами, то все вдруг меняется. [Павел Кузнецов. Деревенский дневник // «Звезда», 2002] [омонимия не снята]"
 и яижуро и алсам огоннишам, йыртсо ,машинного масла и оружия и , острый , , запах цветов наполняет Таджикистан.,Эдуард Лимонов. Книга воды (2002),Эдуард Лимонов,1943,Книга воды,2002,художественная,повесть,_,,,книга,омонимия не снята,"Запах бараньего жира и мяса, пекущегося хлеба, солдатского пота, машинного масла и оружия и острый запах цветов наполняет Таджикистан. [Эдуард Лимонов. Книга воды (2002)] [омонимия не снята]"
" ирдзон в йищюяраду ,вокичзовзи асолог", йыртсо ,"голоса извозчиков, ударяющий в ноздри ", острый , , запах лошадиного навоза населяли каменные,Александр Городницкий. «И жить еще надежде» (2001),Александр Городницкий,1933,«И жить еще надежде»,2001,"нехудожественная, публицистика",мемуары,_,,,книга,омонимия не снята,"Звонкое цоканье конских копыт по еще булыжной мостовой, ржание и всхрапывание лошадей, ласково зазывающие голоса извозчиков, ударяющий в ноздри острый запах лошадиного навоза населяли каменные городские просторы реальной жизнью. [Александр Городницкий. «И жить еще надежде» (2001)] [омонимия не снята]"
 ляотс етанмок В, йыртсо ,В комнате стоял , острый , , запах зеленой микстуры.,"Александр Пятигорский. Древний Человек в Городе // «Октябрь», 2001",Александр Пятигорский,1929,Древний Человек в Городе,2001,художественная,роман,_,«Октябрь»,2001,журнал,омонимия не снята,"В комнате стоял острый запах зеленой микстуры. [Александр Пятигорский. Древний Человек в Городе // «Октябрь», 2001] [омонимия не снята]"
 ынежасу кежол икчур А, имыртсо ,А ручки ложек усажены , острыми , ," шипами, только кончик ― гладкий.","Игорь Ефимов. Суд да дело // «Звезда», 2001",Игорь Ефимов,1937,Суд да дело,2001,художественная,роман,_,«Звезда»,2001,журнал,омонимия не снята,"А ручки ложек усажены острыми шипами, только кончик ― гладкий. [Игорь Ефимов. Суд да дело // «Звезда», 2001] [омонимия не снята]"
" ,еьнанимопсов « оннемИ", йыртсо ,"Именно « воспоминанье, ", острый , , луч» преображает « изгнанье».,"Наталья Иванова. Ut pictura poesis // «Знамя», 2001",Наталья Иванова,1945,Ut pictura poesis,2001,"нехудожественная, публицистика",статья,искусство и культура,«Знамя»,2001,журнал,омонимия не снята,"Именно « воспоминанье, острый луч» преображает « изгнанье». [Наталья Иванова. Ut pictura poesis // «Знамя», 2001] [омонимия не снята]"
" укьлоксоп ,иинешонто мотэ в нечитирк", йыртсо ,"критичен в этом отношении, поскольку ", острый , , луч надо направлять точно на,"Саид Аминов. Перед лицом вездесущей опасности // «Воздушно-космическая оборона», 2001.07.15",Саид Аминов,,Перед лицом вездесущей опасности,2001,"нехудожественная, учебно-научная",рецензия,армия и вооруженные конфликты,«Воздушно-космическая оборона»,2001.07.15,журнал,омонимия не снята,"Постановщик ИК- помех на основе лазера особенно критичен в этом отношении, поскольку острый луч надо направлять точно на атакующую ракету. [Саид Аминов. Перед лицом вездесущей опасности // «Воздушно-космическая оборона», 2001.07.15] [омонимия не снята]"
 с ценев йывонрет оген у, имыртсо ,у него терновый венец с , острыми , ," шипами, в руке ― палка,","Национальная культура. Деревянная скульптура в коллекции Пермской художественной галереи // «Жизнь национальностей», 2001.12.28",,,Национальная культура. Деревянная скульптура в коллекции Пермской художественной галереи,2001,"нехудожественная, публицистика",статья,искусство и культура,«Жизнь национальностей»,2001.12.28,журнал,омонимия не снята,"Страдающий Христос изображен здесь в ночь перед Голгофой: на голове у него терновый венец с острыми шипами, в руке ― палка, другая рука прикрывает щеку от удара. [Национальная культура. Деревянная скульптура в коллекции Пермской художественной галереи // «Жизнь национальностей», 2001.12.28] [омонимия не снята]"
 в мотетсак с укур мин, хыртсо ,ним руку с кастетом в , острых , , шипах.,Алексей Грачев. Ярый-3. Ордер на смерть (2000),Алексей Грачев,,Ярый-3. Ордер на смерть,2000,художественная,роман,_,,,книга,омонимия не снята,Ярый мгновенно принял боевую стойку ― и вовремя перехватил занесенную над ним руку с кастетом в острых шипах. [Алексей Грачев. Ярый-3. Ордер на смерть (2000)] [омонимия не снята]
.яслирущ и »кясок « лирук, йыртсО ,курил « косяк» и щурился., Острый , , запах анаши плыл по длинному,Андрей Житков. Кафедра (2000),Андрей Житков,1962,Кафедра,2000,художественная,роман,_,,,книга,омонимия не снята,Он курил « косяк» и щурился. Острый запах анаши плыл по длинному общаговскому коридору. [Андрей Житков. Кафедра (2000)] [омонимия не снята]
 от-йокак и икчолещ ― икзалГ, йыртсо ,Глазки ― щелочки и какой-то , острый , , запах.,Галина Щербакова. Восхождение на холм царя Соломона с коляской и велосипедом (2000),Галина Щербакова,1932,Восхождение на холм царя Соломона с коляской и велосипедом,2000,художественная,роман,_,,,книга,омонимия не снята,Глазки ― щелочки и какой-то острый запах. [Галина Щербакова. Восхождение на холм царя Соломона с коляской и велосипедом (2000)] [омонимия не снята]
" ,ецнлос еокря ьсолакселп ебен моверозал", мыртсо ,"лазоревом небе плескалось яркое солнце, ", острым , , лучом отражаясь в замочке плывущего,Митьки. Дратва (2000),Митьки,1954 | 1955 | 1956 | 1957,Дратва,2000,художественная,миниатюра,_,,,книга,омонимия не снята,"В лазоревом небе плескалось яркое солнце, острым лучом отражаясь в замочке плывущего на льдине Катиного портфеля, которому предстояло еще довольно длинное путешествие посредине весенней, забитой льдинами реки. [Митьки. Дратва (2000)] [омонимия не снята]"
" доиреп в хишвап ,тялпыц инечеп", йортсо ,"печени цыплят, павших в период ", острой , , вспышки синдрома гидроперикардита кур на,"Аденовирус KR95, выделенный от цыплят во время вспышки гидроперикардита, является возбудителем этого заболевания // «Вопросы вирусологии», 2000.03.15",,,"Аденовирус KR95, выделенный от цыплят во время вспышки гидроперикардита, является возбудителем этого заболевания",2000,"нехудожественная, учебно-научная",статья,"здоровье и медицина, наука и технологии",«Вопросы вирусологии»,2000.03.15,журнал,омонимия не снята,"Из печени цыплят, павших в период острой вспышки синдрома гидроперикардита кур на одной из птицефабрик России, выделен вирусный агент, обозначенный как изолят KR95. [Аденовирус KR95, выделенный от цыплят во время вспышки гидроперикардита, является возбудителем этого заболевания // «Вопросы вирусологии», 2000.03.15] [омонимия не снята]"
 ещбоов мятед митэ месв ок, мыртсо ,ко всем этим детям вообще , острым , , лучом сошлась теперь на Вовочке.,Людмила Улицкая. Счастливые (1990-2000),Людмила Улицкая,1943,Счастливые,1990-2000,художественная,рассказ,_,,,книга,омонимия не снята,Ее острая любовь ко всем этим детям вообще острым лучом сошлась теперь на Вовочке. [Людмила Улицкая. Счастливые (1990-2000)] [омонимия не снята]
" ястюавипв как ,йежок яащущо икат-омярп", еыртсо ,"прямо-таки ощущая кожей, как впиваются ", острые , , шипы в живое мясо.,"Анатолий Приставкин. Долина смертной тени // «Дружба народов», 1999.09.15",Анатолий Приставкин,1931,Долина смертной тени,1999,"публицистика, художественная",роман,криминал,«Дружба народов»,1999.09.15,журнал,омонимия не снята,"Который день я продираюсь сквозь инстанции, как через заросли колючек, не однажды, случалось, попадал туда в горах, — прямо-таки ощущая кожей, как впиваются острые шипы в живое мясо. [Анатолий Приставкин. Долина смертной тени // «Дружба народов», 1999.09.15] [омонимия не снята]"
.момыд микде ьсалинлопан атанмок ясВ, йыртсО ,Вся комната наполнилась едким дымом., Острый , ," запах заставил ученого отвернуться, это",Борис Хазанов. Хроника о Картафиле (1999),Борис Хазанов,1928,Хроника о Картафиле,1999,художественная,рассказ,_,,,книга,омонимия не снята,"Вся комната наполнилась едким дымом. Острый запах заставил ученого отвернуться, это был запах обугленных костей. [Борис Хазанов. Хроника о Картафиле (1999)] [омонимия не снята]"
 имьсов и агурк огоньлартнец зи, хыртсо ,из центрального круга и восьми , острых , ," лучей, между которыми змеились пучки",Виктор Пелевин. Generation «П» (1999),Виктор Пелевин,1962,Generation «П»,1999,художественная,роман,_,,,книга,омонимия не снята,"Каждая звезда состояла из центрального круга и восьми острых лучей, между которыми змеились пучки симметричных волнистых линий. [Виктор Пелевин. Generation «П» (1999)] [омонимия не снята]"
 и яакторок онпазенВ, яартсо ,Внезапно короткая и , острая , , вспышка ужаса опалила ее: она,Дина Рубина. Высокая вода венецианцев (1999),Дина Рубина,1953,Высокая вода венецианцев,1999,художественная,повесть,_,,,книга,омонимия не снята,"Внезапно короткая и острая вспышка ужаса опалила ее: она поняла, что уже умерла, и самым верным доказательством тому было то, что она забыла, как Миша смеется. [Дина Рубина. Высокая вода венецианцев (1999)] [омонимия не снята]"
 и алсам еиначровкС, еыртсо ,Скворчание масла и , острые , , запахи еды ― главные в,Ирина Соколова. Бабочки летают (заметки о Тайване) (1999),Ирина Соколова,,Бабочки летают (заметки о Тайване),1999,"нехудожественная, публицистика",монография,путешествия,,,электронный текст,омонимия не снята,Скворчание масла и острые запахи еды ― главные в эти часы. [Ирина Соколова. Бабочки летают (заметки о Тайване) (1999)] [омонимия не снята]
" имиклем илавикревсоп ежот ино ,иншаб", имыртсо ,"башни, они тоже посверкивали мелкими ", острыми , ," вспышками закрываемых окон, желтый маленький","Ольга Славникова. Стрекоза, увеличенная до размеров собаки (1995-1999)",Ольга Славникова,1957,"Стрекоза, увеличенная до размеров собаки",1995-1999,художественная,роман,_,,,книга,омонимия не снята,"Вдалеке, в ложбине, вбирающей шоссе, уже показались городские бетонные башни, они тоже посверкивали мелкими острыми вспышками закрываемых окон, желтый маленький автобус, неестественно выгибаясь, заворачивал на кольце. [Ольга Славникова. Стрекоза, увеличенная до размеров собаки (1995-1999)] [омонимия не снята]"
 удюсвоп ― орту еондалхорп ан, йыртсо ,на прохладное утро ― повсюду , острый , , запах пота.,Олег Глушкин. Пути паромов (1990-1999),Олег Глушкин,1937,Пути паромов,1990-1999,художественная,рассказ,_,,,книга,омонимия не снята,Несмотря на прохладное утро ― повсюду острый запах пота. [Олег Глушкин. Пути паромов (1990-1999)] [омонимия не снята]
 онневтирб в еищюацрем худзов йонядел, мортсо ,ледяной воздух мерцающие в бритвенно , остром , , свете зажженных фар клубы прогретого,Вячеслав Рыбаков. Хроники смутного времени (1998),Вячеслав Рыбаков,1954,Хроники смутного времени,1998,художественная,повесть,_,,,книга,омонимия не снята,"Неподалеку от двери урчит « Жигуль», извергая в ледяной воздух мерцающие в бритвенно остром свете зажженных фар клубы прогретого перегара. [Вячеслав Рыбаков. Хроники смутного времени (1998)] [омонимия не снята]"
.икалук алажс оннелдем и уколоворп, еыртсО ,проволоку и медленно сжала кулаки., Острые , ," шипы пробили кожу, но боль",Олег Дивов. Молодые и сильные выживут (1998),Олег Дивов,1968,Молодые и сильные выживут,1998,художественная,роман,_,,,книга,омонимия не снята,"проволоку и медленно сжала кулаки. Острые шипы пробили кожу, но боль не принесла облегчения. [Олег Дивов. Молодые и сильные выживут (1998)] [омонимия не снята]"
 залг енм алолокорп екжаруф йовокисалв, мыртсо ,власиковой фуражке проколола мне глаз , острым , , лучом.,Нодар Джин. Учитель (1980-1998),Нодар Джин,1947,Учитель,1980-1998,художественная,роман,_,,,книга,омонимия не снята,И звезда на власиковой фуражке проколола мне глаз острым лучом. [Нодар Джин. Учитель (1980-1998)] [омонимия не снята]
 и мокилб мищюурисьлуп еинерз енм, мыртсо ,мне зрение пульсирующим бликом и , острым , , тиканьем прокалывал точки в тугой,Нодар Джин. Учитель (1980-1998),Нодар Джин,1947,Учитель,1980-1998,художественная,роман,_,,,книга,омонимия не снята,"С разлетной звездой на сияющей медной бляхе, маятник суетился, теребил мне зрение пульсирующим бликом и острым тиканьем прокалывал точки в тугой пелене из черной пустоты. [Нодар Джин. Учитель (1980-1998)] [омонимия не снята]"
 с икчодзевз еыньлаицепс ( ынекирус, имыртсо ,сурикены ( специальные звездочки с , острыми , , лучами- клинками).,"Александр Никонов. Ножички // «Столица», 1997.07.29",Александр Никонов,,Ножички,1997,"нехудожественная, публицистика",статья,криминал,«Столица»,1997.07.29,журнал,омонимия не снята,"Сразу скажу, что новый закон полностью вывел из гражданского оборота метательное оружие, а именно: метательные ножи, арбалеты и сурикены ( специальные звездочки с острыми лучами- клинками). [Александр Никонов. Ножички // «Столица», 1997.07.29] [омонимия не снята]"
 ен ежу яинил атэ он, йыртсо ,но эта линия уже не , острый , ," луч- скальпель Сретенья, который более",Андрей Балдин. Московские праздные дни (1997),Андрей Балдин,1958,Московские праздные дни,1997,"нехудожественная, публицистика","цикл, эссе",культурология,,,книга,омонимия не снята,"Время в Москве ( свет по Москве) идет уверенно, по-прежнему по линии, над пропастью Великого поста, но эта линия уже не острый луч- скальпель Сретенья, который более будоражил, колол, членил по осям московское целое, но поток ― мартовский, апрельский, проливающийся прямо в море Пасхи. [Андрей Балдин. Московские праздные дни (1997)] [омонимия не снята]"
".йынвиан и йынврен ,ясйищачярог ―", йыртсО ,"― горячащийся, нервный и наивный.", Острый , , голос ― заснуть под него,Валентин Распутин. Нежданно-негаданно (1997),Валентин Распутин,1937,Нежданно-негаданно,1997,художественная,рассказ,_,,,книга,омонимия не снята,"голос ― горячащийся, нервный и наивный. Острый голос ― заснуть под него не удавалось, но и открывать глаза, смотреть на белый свет не хотелось. [Валентин Распутин. Нежданно-негаданно (1997)] [омонимия не снята]"
" яахыдв ,ьтедис яслатсо кат и", йыртсо ,"и так остался сидеть, вдыхая ", острый , , запах могильной земли.,Елена Хаецкая. Мракобес/ Дорога (1997),Елена Хаецкая,1963,Мракобес/ Дорога,1997,художественная,повесть,_,,,книга,омонимия не снята,"И Иеронимус положил ладонь на растрепанные светлые волосы и так остался сидеть, вдыхая острый запах могильной земли. [Елена Хаецкая. Мракобес/ Дорога (1997)] [омонимия не снята]"
" с ,имынвиссам ино илыБ", имыртсо ,"Были они массивными, с ", острыми , ," шипами, а позади ворот еще",Елена Хаецкая. Синие стрекозы Вавилона/ Священный поход (1997),Елена Хаецкая,1963,Синие стрекозы Вавилона/ Священный поход,1997,художественная,повесть,_,,,книга,омонимия не снята,"Были они массивными, с острыми шипами, а позади ворот еще устроены были решетки и еще одни ворота. [Елена Хаецкая. Синие стрекозы Вавилона/ Священный поход (1997)] [омонимия не снята]"
 еж евзаР, йыртсо ,Разве же , острый , , диссонанс резеды или 	 мускуса не,С. В. Рязанцев. В мире запахов и звуков (1997),С. В. Рязанцев,,В мире запахов и звуков,1997,"нехудожественная, учебно-научная",монография,"естественные науки, здоровье и медицина",,,книга,омонимия не снята,Разве же острый диссонанс резеды или 	 мускуса не напоминает нам удар в боевые литавры?  [С. В. Рязанцев. В мире запахов и звуков (1997)] [омонимия не снята]
( ызол йончер нелт йорыс, йыртсо ,сырой тлен речной лозы (, острый , , запах реки)? ,"Владимир Маканин. Андеграунд, или герой нашего времени (1996-1997)",Владимир Маканин,1937,"Андеграунд, или герой нашего времени",1996-1997,художественная,роман,_,,,книга,омонимия не снята,"А сырой тлен речной лозы (острый запах реки)?  [Владимир Маканин. Андеграунд, или герой нашего времени (1996-1997)] [омонимия не снята]"
" он ,йыбалс лавовтсвучоп я ,омим", йыртсо ,"мимо, я почувствовал слабый, но ", острый , , запах свежевскопанной земли и увидел,"Андрей Лазарчук, Михаил Успенский. Посмотри в глаза чудовищ (1996)","Андрей Лазарчук, Михаил Успенский",1958,Посмотри в глаза чудовищ,1996,художественная,роман,_,,,книга,омонимия не снята,"Когда леди проходила мимо, я почувствовал слабый, но острый запах свежевскопанной земли и увидел на груди ее монисто из лягушачьих вилок и « куриных богов». [Андрей Лазарчук, Михаил Успенский. Посмотри в глаза чудовищ (1996)] [омонимия не снята]"
" няесу сон ее отч ,умотоп", имыртсо ,"потому, что ее нос усеян ", острыми , , шипами по краям и очень,Валентин Постников. Карандаш и Самоделкин в стране людоедов (1996),Валентин Постников,1970,Карандаш и Самоделкин в стране людоедов,1996,художественная,сказка,_,,,книга,омонимия не снята,"Ее так прозвали потому, что ее нос усеян острыми шипами по краям и очень напоминает пилу. [Валентин Постников. Карандаш и Самоделкин в стране людоедов (1996)] [омонимия не снята]"
 и авилпот огони то мыд, йыртсо ,дым от иного топлива и , острый , , запах мясной еды.,Людмила Улицкая. Медея и ее дети (1996),Людмила Улицкая,1943,Медея и ее дети,1996,художественная,повесть,_,,,книга,омонимия не снята,"Было самое раннее, самое новорожденное утро, любимейшее Медеино время, и после тяжелой, грязной железнодорожной жизни она особенно остро ощущала священную чистоту утра, его запахи, в которых к знакомым примешивались незнакомые: дым от иного топлива и острый запах мясной еды. [Людмила Улицкая. Медея и ее дети (1996)] [омонимия не снята]"
" еещюяис ,еонрогокосыв ,овтснартсорп еонмезен ьшил", мыртсо ,"лишь неземное пространство, высокогорное, сияющее ", острым , ," светом, с движением, освобожденным от",Людмила Улицкая. Медея и ее дети (1996),Людмила Улицкая,1943,Медея и ее дети,1996,художественная,повесть,_,,,книга,омонимия не снята,"Теперь Маша легко, без малейшего усилия, попала туда, где время отсутствовало, а было лишь неземное пространство, высокогорное, сияющее острым светом, с движением, освобожденным от всякой обязательности физических законов, с полетом, плаванием и полным забвением всего, что оставалось за пределом единственной реальности внешней и внутренней поверхности растворившегося от счастья тела. [Людмила Улицкая. Медея и ее дети (1996)] [омонимия не снята]"
" лункревс лсымс и ,ьтсик лунревоп", мыртсо ,"повернул кисть, и смысл сверкнул ", острым , , лучом.,Людмила Улицкая. Медея и ее дети (1996),Людмила Улицкая,1943,Медея и ее дети,1996,художественная,повесть,_,,,книга,омонимия не снята,"Как будто слово было в руке и оно было оружием, он вложил его ей в руку, гладкое, удобное в ладони, и повернул кисть, и смысл сверкнул острым лучом. [Людмила Улицкая. Медея и ее дети (1996)] [омонимия не снята]"
 олунзырб ецнлос ясеешверогзар улис юунлоп, имыртсо ,полную силу разгоревшееся солнце брызнуло , острыми , , лучами прямо ему в глаза,Сергей Бабаян. Ротмистр Неженцев (1995-1996),Сергей Бабаян,1958,Ротмистр Неженцев,1995-1996,художественная,роман,_,,,книга,омонимия не снята,"Полуденное, в полную силу разгоревшееся солнце брызнуло острыми лучами прямо ему в глаза ― и сначала он ничего не увидел. [Сергей Бабаян. Ротмистр Неженцев (1995-1996)] [омонимия не снята]"
" нежревдоп ен ,йындолох оньланоицомэ но", мыртсо ,"он эмоционально холодный, не подвержен ", острым , , вспышкам эмоций.,Александра Маринина. Шестерки умирают первыми (1995),Александра Маринина,1957,Шестерки умирают первыми,1995,художественная,роман,_,,,книга,омонимия не снята,"Лучше всего, если он эмоционально холодный, не подвержен острым вспышкам эмоций. [Александра Маринина. Шестерки умирают первыми (1995)] [омонимия не снята]"
" обен в ясяащююлп ,адартсотва яакстнагиг", мыртсо ,"гигантская автострада, плюющаяся в небо ", острым , ," светом, выла и свистела над",Андрей Дмитриев. Поворот реки (1995),Андрей Дмитриев,1956,Поворот реки,1995,художественная,повесть,_,,,книга,омонимия не снята,"И вдруг собаки, сугробы, люди с поводками, подъезды с битыми стеклами, окна с люстрами и занавесками ― все куда-то провалилось; она оказалась в лесу, в снегу, и гигантская автострада, плюющаяся в небо острым светом, выла и свистела над головой. [Андрей Дмитриев. Поворот реки (1995)] [омонимия не снята]"
 и йераселс и ворефош евтсещбо, йыртсо ,обществе шоферов и слесарей и , острый , ," запах сырой подпорченной рыбы, которой",Борис Левин. Блуждающие огни (1995),Борис Левин,1938,Блуждающие огни,1995,художественная,роман,_,,,книга,омонимия не снята,"В памяти об этом периоде моей жизни, к счастью продолжавшемся не более полугода, осталась перманентная пьянка в обществе шоферов и слесарей и острый запах сырой подпорченной рыбы, которой я обязался кормить ненавидевшего меня злобного рыжего кота, пока хозяева квартиры, которую я снимал, наслаждались путешествием по городам и весям. [Борис Левин. Блуждающие огни (1995)] [омонимия не снята]"
 яслитущо онневтсвя ектанмок йолеб йолпет, йыртсо ,теплой белой комнатке явственно ощутился , острый , , запах спирта.,Анатолий Приставкин. Радиостанция «Тамара» (1994),Анатолий Приставкин,1931,Радиостанция «Тамара»,1994,художественная,повесть,_,,,книга,омонимия не снята,"Потом он пустил нас, но прежде, кажется, принял чего-то для облегчения, и с морозца в теплой белой комнатке явственно ощутился острый запах спирта. [Анатолий Приставкин. Радиостанция «Тамара» (1994)] [омонимия не снята]"
 имадаирим оларги и оларги есв, хыртсо ,все играло и играло мириадами , острых , ," вспышек, выписывая и предвещая своими",Валентин Распутин. Женский разговор (1994),Валентин Распутин,1937,Женский разговор,1994,художественная,рассказ,_,,,книга,омонимия не снята,"И только небо, разворачиваясь, все играло и играло мириадами острых вспышек, выписывая и предвещая своими огненными письменами завтрашнюю неотвратимость. [Валентин Распутин. Женский разговор (1994)] [омонимия не снята]"
 тО, огортсо ,От , острого , , запаха растопленного сала Виктору захотелось,Сергей Бабаян. Господа офицеры (1994),Сергей Бабаян,1958,Господа офицеры,1994,художественная,роман,_,,,книга,омонимия не снята,"От острого запаха растопленного сала Виктору захотелось есть… голод пробился через унылую, злобную какую-то тоску. [Сергей Бабаян. Господа офицеры (1994)] [омонимия не снята]"
